fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
common_factor_station_noise,0.0,14,1461,fixture-specific,12,0.7,24,0.0,0.0,0.36905034724674923,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.3,6,1461,fixture-specific,12,0.7,24,0.9583333333333334,0.0,-0.16873470663618162,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.3,10,1461,fixture-specific,12,0.7,24,0.0,1.0,0.0840573735596869,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.3,14,1461,fixture-specific,12,0.7,24,0.0,1.0,0.37439627243198215,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.6,6,1461,fixture-specific,12,0.7,24,0.08333333333333333,0.4583333333333333,-0.028384946570540234,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.6,10,1461,fixture-specific,12,0.7,24,0.0,1.0,0.21371409923645562,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.6,14,1461,fixture-specific,12,0.7,24,0.0,1.0,0.42449300411544316,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.8,6,1461,fixture-specific,12,0.7,24,0.0,0.7916666666666666,0.03739552648538247,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.8,10,1461,fixture-specific,12,0.7,24,0.0,1.0,0.21567975461098693,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.8,14,1461,fixture-specific,12,0.7,24,0.0,1.0,0.36216791294316963,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.92,6,1461,fixture-specific,12,0.7,24,0.0,0.5,0.0017929079633426936,FROZEN_FORENSIC_CALIBRATION
common_factor_station_noise,0.92,10,1461,fixture-specific,12,0.7,24,0.0,1.0,0.11897754659401982,FROZEN_FORENSIC_CALIBRATION
