null_family,station,N,observed_score,null_median,null_minus_observed,upper_tail_local_p_32,lower_tail_local_p_32,status
fixed_7d_block_permutation,Gucheng,6,0.06794184630283902,0.02304610566242934,-0.04489574064040967,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,7,0.12020492394111468,-0.01643011423962721,-0.13663503818074188,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,8,0.1453275734251666,-0.001662268332586901,-0.1469898417577535,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,9,0.12927426750101376,-0.006867431463447387,-0.13614169896446116,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,10,0.023847573073487626,-0.016088473824846676,-0.0399360468983343,0.34375,0.6875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,11,0.01004035476437593,0.01585607383820797,0.00581571907383204,0.5625,0.46875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,12,0.09623984265322404,-0.014717290163421274,-0.1109571328166453,0.0625,0.96875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,13,0.029637451603203507,0.005161997682313866,-0.02447545392088964,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Gucheng,14,0.043280189949557096,-0.05699039620029287,-0.10027058614984996,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,6,0.10039049929906779,0.026746710673084623,-0.07364378862598317,0.15625,0.875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,7,0.08533629193618253,0.009553912498636588,-0.07578237943754594,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,8,0.13922686934910863,0.01810991121732184,-0.1211169581317868,0.03125,1.0,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,9,0.10130858810339888,0.018696987919511885,-0.082611600183887,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,10,0.08849247246133661,-0.004061185995860808,-0.09255365845719742,0.125,0.90625,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,11,0.09576735334987535,-0.001962080269311538,-0.09772943361918689,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,12,0.09151280278603832,0.0005174463866555404,-0.09099535639938278,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,13,0.0700409282665393,-0.0008974060075853293,-0.07093833427412463,0.28125,0.75,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Huairou,14,0.07692783986801553,-0.030452027160560228,-0.10737986702857576,0.09375,0.9375,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Nongzhanguan,6,0.05756190939749703,0.009145136570882718,-0.048416772826614315,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
