station,condition,N,eligible,observed_score,null_median,null_mad,local_p,robust_z,issue_code
Changping,calibration_scale_095,10,True,0.06505958412547895,0.2876322688337243,0.03226674909453242,1.0,-4.65256722044699,
Changping,calibration_scale_095,11,True,0.10998404258289628,0.30549266753994797,0.03744642482410826,1.0,-3.521531402554847,
Changping,calibration_scale_095,12,True,0.11894301918540515,0.31748855469758486,0.043764459917851106,0.9921875,-3.0599515974758753,
Changping,calibration_scale_095,13,True,0.07922457641692236,0.3094789266693592,0.042844132019618564,1.0,-3.6248705307751674,
Changping,calibration_scale_095,14,True,0.1186462262223305,0.3175266381751037,0.04044864572790896,1.0,-3.316378031675049,
Changping,calibration_scale_105,6,True,0.09101052444207125,0.21559273261719697,0.038445008934543834,1.0,-2.1857075999742874,
Changping,calibration_scale_105,7,True,0.08106957746377927,0.24294876201955273,0.03878829456300126,1.0,-2.8149217531885027,
Changping,calibration_scale_105,8,True,0.154731695202971,0.26329619556640194,0.04398622734991314,0.9375,-1.6647427323060071,
Changping,calibration_scale_105,9,True,0.11856266918480374,0.27405999379869006,0.044900069552732236,0.9921875,-2.335887441159134,
Changping,calibration_scale_105,10,True,0.06504893039651875,0.28737899983166176,0.03237867101420211,1.0,-4.631430898507776,
Changping,calibration_scale_105,11,True,0.11000767988411028,0.30505057651517964,0.03791732509709095,1.0,-3.4695124495819987,
Changping,calibration_scale_105,12,True,0.11895407642068356,0.31753393806590713,0.04362271782777527,0.9921875,-3.070424961293039,
Changping,calibration_scale_105,13,True,0.07917116222658033,0.3093217287810347,0.042886867923154215,1.0,-3.6196261920417134,
Changping,calibration_scale_105,14,True,0.1186594321378086,0.31726933830542775,0.04077733681109269,1.0,-3.2851715420054446,
Changping,sensor_noise_001,6,True,0.09202110778587834,0.21749937930022825,0.037653251123047154,1.0,-2.2477191776866454,
Changping,sensor_noise_001,7,True,0.0826741446557358,0.24400911071439857,0.038818293821466565,1.0,-2.8032902292800195,
Changping,sensor_noise_001,8,True,0.15527218421674355,0.2645981004218759,0.04153124465535432,0.953125,-1.7755143353780434,
Changping,sensor_noise_001,9,True,0.11958486933197683,0.2758301441106531,0.04440016365738725,0.9921875,-2.3735496757018075,
Changping,sensor_noise_001,10,True,0.06479233229281453,0.28962568269714123,0.03153030233535803,1.0,-4.809596040562666,
Changping,sensor_noise_001,11,True,0.10977549573327497,0.30768064641967485,0.03754885934859736,1.0,-3.554973378859409,
Changping,sensor_noise_001,12,True,0.11724348599241977,0.3167434652468966,0.04394881584738575,0.9921875,-3.0617637797156094,
Changping,sensor_noise_001,13,True,0.07888567685633427,0.3106057155647533,0.0427539592643828,1.0,-3.655638625838127,
Changping,sensor_noise_001,14,True,0.11707466538910224,0.31797546448095576,0.03947581956973861,1.0,-3.432626200946444,
Changping,outage_6h_30d,6,True,0.08746738982162978,0.209937715954146,0.038256591316562505,1.0,-2.1592384591437654,
Changping,outage_6h_30d,7,True,0.07880378069129215,0.23166720491631623,0.04493484364118125,1.0,-2.294543804915731,
Changping,outage_6h_30d,8,True,0.15354464233239098,0.2563406733320726,0.04419235614372452,0.9296875,-1.568935876481904,
Changping,outage_6h_30d,9,True,0.13015367350407972,0.2613970348160325,0.04357842545151164,0.984375,-2.0313362295766373,
Changping,outage_6h_30d,10,True,0.06817562810306346,0.2848979419279294,0.033628358884962795,1.0,-4.346843048371985,
Changping,outage_6h_30d,11,True,0.057005899517079184,0.3018302843324731,0.04024388428898806,1.0,-4.103276514432039,
Changping,outage_6h_30d,12,True,0.14240400336642217,0.30192697896177234,0.05048392887096037,0.984375,-2.1313074352492896,
Changping,outage_6h_30d,13,True,0.0675275208317273,0.3023929455985116,0.04779929629609231,1.0,-3.3141608977764845,
Changping,outage_6h_30d,14,True,0.1117434945820453,0.3010298239484019,0.0477103570148068,1.0,-2.6759782999156374,
Changping,outage_24h_90d,6,True,0.0886275505044768,0.19875038484452748,0.03700104939525037,0.9921875,-2.007425069929789,
Changping,outage_24h_90d,7,True,0.0727858462215143,0.22316405037489312,0.040127736987725704,1.0,-2.5276458814301948,
Changping,outage_24h_90d,8,True,0.1477194247687986,0.2387232174483944,0.04447775774234153,0.921875,-1.3800429777798364,
Changping,outage_24h_90d,9,True,0.10777542222238454,0.25414339442699907,0.04242562369756042,0.9921875,-2.3269862910940895,
Changping,outage_24h_90d,10,True,0.061394526473673564,0.2725730729566126,0.03308824455635234,1.0,-4.304791025098233,
Changping,outage_24h_90d,11,True,0.04585857334850715,0.28962695201779004,0.04572529114631363,1.0,-3.595811305802442,
Changping,outage_24h_90d,12,True,0.13154755574950597,0.28867300735083395,0.050742331636570215,0.984375,-2.088584851455717,
Changping,outage_24h_90d,13,True,0.07884891616775523,0.2969872901445721,0.049620898971684035,1.0,-2.9651280122630026,
Changping,outage_24h_90d,14,True,0.11162048216786448,0.296700920230599,0.045572541312551396,1.0,-2.7392601254565814,
Changping,day_order_swap_010,6,True,0.09295653141370527,0.21917617185248517,0.04327656933634072,1.0,-1.9672072543173078,
Changping,day_order_swap_010,7,True,0.087399592997444,0.23774171676548095,0.03893266287938779,1.0,-2.604609234045336,
Changping,day_order_swap_010,8,True,0.1649501403550008,0.2598818047763341,0.040808424900824036,0.9375,-1.5690517482489115,
